Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
11,10,0.001,0.95,0.9541666666666666,0.9520833333333333
11,11,0.0009090909090909091,0.95,0.9541666666666666,0.9520833333333333
11,12,0.0008333333333333334,0.95,0.9541666666666666,0.9520833333333333
11,13,0.0007692307692307692,0.95,0.9541666666666666,0.9520833333333333
11,14,0.0007142857142857143,0.95,0.9541666666666666,0.9520833333333333
12,10,0.001,0.89,0.8416666666666666,0.8658333333333332
12,11,0.0009090909090909091,0.89,0.8416666666666666,0.8658333333333332
12,12,0.0008333333333333334,0.89,0.8416666666666666,0.8658333333333332
12,13,0.0007692307692307692,0.89,0.8416666666666666,0.8658333333333332
12,14,0.0007142857142857143,0.89,0.8416666666666666,0.8658333333333332
13,10,0.001,0.8625,0.7916666666666667,0.8270833333333334
13,11,0.0009090909090909091,0.8625,0.7916666666666667,0.8270833333333334
13,12,0.0008333333333333334,0.8625,0.7916666666666667,0.8270833333333334
13,13,0.0007692307692307692,0.8625,0.7916666666666667,0.8270833333333334
13,14,0.0007142857142857143,0.8625,0.7916666666666667,0.8270833333333334
14,10,0.001,0.9375,0.9125,0.925
14,11,0.0009090909090909091,0.9375,0.9125,0.925
14,12,0.0008333333333333334,0.95,0.9375,0.94375
14,13,0.0007692307692307692,0.95,0.9375,0.94375
14,14,0.0007142857142857143,0.95,0.9375,0.94375
15,10,0.001,0.93,0.875,0.9025000000000001
15,11,0.0009090909090909091,0.93,0.875,0.9025000000000001
15,12,0.0008333333333333334,0.93,0.875,0.9025000000000001
15,13,0.0007692307692307692,0.93,0.875,0.9025000000000001
15,14,0.0007142857142857143,0.93,0.875,0.9025000000000001
