Bin_Number,M_Value,Prob_Value,Average
11,24,0.0004166666666666667,0.8474433099635897
11,25,0.0004,0.8476682829073127
11,26,0.0003846153846153846,0.8436314863705162
11,27,0.00037037037037037035,0.8405600577990876
11,28,0.00035714285714285714,0.8400719625609924
11,29,0.0003448275862068965,0.8357866541194339
11,30,0.0003333333333333333,0.8341945283802493
11,31,0.0003225806451612903,0.834421001182809
11,32,0.0003125,0.8341829059447138
11,33,0.00030303030303030303,0.8337175379793459
12,24,0.0004166666666666667,0.8303085646746762
12,25,0.0004,0.8295823741984858
12,26,0.0003846153846153846,0.8306538027699142
12,27,0.00037037037037037035,0.8309038027699142
12,28,0.00035714285714285714,0.8293502313413429
12,29,0.0003448275862068965,0.8275838622937238
12,30,0.0003333333333333333,0.8263795587376761
12,31,0.0003225806451612903,0.8257905553497598
12,32,0.0003125,0.8302587477946963
12,33,0.00030303030303030303,0.8299638343747828
13,24,0.0004166666666666667,0.8080786942799598
13,25,0.0004,0.8077680882193536
13,26,0.0003846153846153846,0.8063521430534086
13,27,0.00037037037037037035,0.8066021430534086
13,28,0.00035714285714285714,0.8063640478153132
13,29,0.0003448275862068965,0.8063640478153132
13,30,0.0003333333333333333,0.8063272512785169
13,31,0.0003225806451612903,0.8053070818344343
13,32,0.0003125,0.80568527816116
13,33,0.00030303030303030303,0.8055811114944934
14,24,0.0004166666666666667,0.8257064223915821
14,25,0.0004,0.824563565248725
14,26,0.0003846153846153846,0.8249316639374757
14,27,0.00037037037037037035,0.8226816639374757
14,28,0.00035714285714285714,0.822454391210203
14,29,0.0003448275862068965,0.821302876058688
14,30,0.0003333333333333333,0.8210647808205926
14,31,0.0003225806451612903,0.8218847410181104
14,32,0.0003125,0.8218847410181104
14,33,0.00030303030303030303,0.8211585505419199
15,24,0.0004166666666666667,0.8168464054141233
15,25,0.0004,0.8184077329754509
15,26,0.0003846153846153846,0.8173471269148449
15,27,0.00037037037037037035,0.8164948541875722
15,28,0.00035714285714285714,0.8162567589494769
15,29,0.0003448275862068965,0.8149221028648208
15,30,0.0003333333333333333,0.8149221028648208
15,31,0.0003225806451612903,0.8142723130411179
15,32,0.0003125,0.8140212307900356
15,33,0.00030303030303030303,0.8122886300574349
16,24,0.0004166666666666667,0.8150407044390663
16,25,0.0004,0.8109391171374789
16,26,0.0003846153846153846,0.8099856539340158
16,27,0.00037037037037037035,0.8112906755640374
16,28,0.00035714285714285714,0.8116240088973706
16,29,0.0003448275862068965,0.8112239065487389
16,30,0.0003333333333333333,0.8109858113106437
16,31,0.0003225806451612903,0.8113789507798701
16,32,0.0003125,0.8128314399573593
16,33,0.00030303030303030303,0.8145317285576479
17,24,0.0004166666666666667,0.8119716101066576
17,25,0.0004,0.8118066269416744
17,26,0.0003846153846153846,0.8113304364654839
17,27,0.00037037037037037035,0.8109767097574094
17,28,0.00035714285714285714,0.8109767097574094
17,29,0.0003448275862068965,0.8109815869454386
17,30,0.0003333333333333333,0.8102673012311531
17,31,0.0003225806451612903,0.8114829515228903
17,32,0.0003125,0.8105008086657474
17,33,0.00030303030303030303,0.8104412848562236
18,24,0.0004166666666666667,0.8047779987333403
18,25,0.0004,0.8043386047939464
18,26,0.0003846153846153846,0.8061611156164572
18,27,0.00037037037037037035,0.8065777822831238
18,28,0.00035714285714285714,0.8041853309844227
18,29,0.0003448275862068965,0.8040707476510892
18,30,0.0003333333333333333,0.8043980037283454
18,31,0.0003225806451612903,0.8046125717690004
18,32,0.0003125,0.8046125717690004
18,33,0.00030303030303030303,0.8047132662134449
19,24,0.0004166666666666667,0.821700636305286
19,25,0.0004,0.8213510762638782
19,26,0.0003846153846153846,0.8184950156578175
19,27,0.00037037037037037035,0.8144228239606258
19,28,0.00035714285714285714,0.8132792453170472
19,29,0.0003448275862068965,0.8131267831958351
19,30,0.0003333333333333333,0.8142319774425928
19,31,0.0003225806451612903,0.8137141400210629
19,32,0.0003125,0.8141686854756085
19,33,0.00030303030303030303,0.8149480415362144
20,24,0.0004166666666666667,0.8106031405014106
20,25,0.0004,0.8081238836471536
20,26,0.0003846153846153846,0.809644716980487
20,27,0.00037037037037037035,0.8092280503138204
20,28,0.00035714285714285714,0.8093463764321465
20,29,0.0003448275862068965,0.80880967008294
20,30,0.0003333333333333333,0.80655967008294
20,31,0.0003225806451612903,0.8062702698696269
20,32,0.0003125,0.8064576796820366
20,33,0.00030303030303030303,0.8059671459637681
